"";"qnumq";"sexe";"aget";"matrim";"pratique";"enf";"activite";"prof";"dipl";"vote";"habitat";"localite";"revenu";"region";"K1"
"28";4126;"femme";"50-59ans";"En_couple";"Relig_regul";"avecEnfant";"inactif";"inactif";"Cep";"ecolo_non";"individuel";"Rurv";"rev2";"Bretagne";"c'est ce qui m'entoure, les gens qui vivent autour, l'ambiance de la région"
"29";5349;"femme";"50-59ans";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"prof";"ecolo_oui";"individuel";"Bourg";"RevNSP";"Nord";"forêt, rivières, animaux"
"30";2861;"homme";"40-49ans";"En_couple";"Relig_regul";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_oui";"individuel";"GV";"rev4";"Seine";"nature, risque, préserver, ce qui nous entoure"
"31";2689;"femme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"commerc";"prof";"ecolo_oui";"individuel";"Bourg";"rev3";"Bretagne";"les bois, la nature, la campagne"
"32";1939;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"employe";"Bac";"ecolo_oui";"individuel";"Ville";"rev3";"Nord";"quelque chose agréable"
"33";931;"femme";"30-39ans";"En_couple";"Relig_regul";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_non";"individuel";"Ville";"rev3";"Mediterrannée";"cadre de vie"
"34";2507;"homme";"60ans+";"En_couple";"Rrelig_non";"avecEnfant";"chomeur";"inactif";"Cep";"ecolo_oui";"collectif";"Ville";"rev2";"Centre";"la nature qu'il y a autour de chez nous"
"35";5469;"femme";"50-59ans";"En_couple";"Relig_occas";"avecEnfant";"inactif";"inactif";"NOdip";"ecolo_oui";"individuel";"Bourg";"rev2";"Nord";"nature"
"36";5719;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Be";"ecolo_oui";"individuel";"Rurv";"rev2";"Centre";"la propreté, un paysage entretenu"
"37";1472;"femme";"20-29ans";"Seul";"Rrelig_non";"sansEnfant";"inactif";"enseig_etud";"Bac";"ecolo_oui";"individuel";"PTGV";"rev3";"Jura_Alpes";"protection de la nature"
"38";3792;"homme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"ouvrier";"Cep";"ecolo_non";"individuel";"Bourg";"rev3";"Nord";"la nature, les animaux"
"39";1776;"femme";"20-29ans";"En_couple";"Rrelig_non";"sansEnfant";"chomeur";"inactif";"prof";"ecolo_oui";"individuel";"Ville";"rev2";"Nord";"la nature, la propreté"
"40";3313;"femme";"60ans+";"Seul";"Relig_regul";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"individuel";"Bourg";"rev1";"Jura_Alpes";"la nature, le paysage, les villages, les gens"
"41";4144;"femme";"50-59ans";"En_couple";"Relig_regul";"avecEnfant";"actif";"agricult";"NOdip";"ecolo_oui";"individuel";"Rural";"RevNSP";"Bretagne";"pollution"
"42";3004;"homme";"40-49ans";"Seul";"Rrelig_non";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_non";"individuel";"Rurv";"rev3";"Seine";"verdure"
"43";4622;"femme";"30-39ans";"En_couple";"Rrelig_non";"sansEnfant";"inactif";"inactif";"NOdip";"ecolo_non";"individuel";"Rurv";"rev2";"Nord";"la campagne, la nature, les bois, la pollution des fleuves due aux usines"
"44";89;"femme";"60ans+";"En_couple";"Rrelig_non";"sansEnfant";"inactif";"inactif";"prof";"ecolo_oui";"collectif";"TGV";"rev3";"Seine";"qualité de vie, l'espace de vie"
"45";288;"femme";"40-49ans";"Seul";"Rrelig_non";"sansEnfant";"actif";"prof_interm";"prof";"ecolo_non";"individuel";"PTGV";"rev2";"Seine";"verdure, voisins, confort"
"46";199;"femme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"employe";"Supérieur";"ecolo_non";"individuel";"Ville";"rev4";"Seine";"qualité de la vie"
"47";5577;"femme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_oui";"individuel";"Rural";"RevNSP";"Centre";"nature, écologie"
"48";2821;"homme";"20-29ans";"Seul";"Relig_regul";"sansEnfant";"inactif";"enseig_etud";"Bac";"ecolo_non";"individuel";"GV";"rev1";"S_BassinParis";"lieu de vie, écologie liée à la défense de l'environnement"
"49";959;"femme";"40-49ans";"En_couple";"Relig_regul";"avecEnfant";"inactif";"inactif";"Supérieur";"ecolo_non";"collectif";"TGV";"rev3";"Mediterrannée";"la nature, la campagne"
"50";5077;"femme";"20-29ans";"Seul";"Relig_occas";"sansEnfant";"actif";"employe";"prof";"ecolo_non";"individuel";"Rural";"rev1";"S_Ouest";"amis, là où on habite, nature"
"51";5241;"femme";"20-29ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"prof_interm";"Bac";"ecolo_non";"individuel";"Bourg";"rev2";"S_Ouest";"le lieu où on vit, le cadre de vie, la société"
"52";5607;"femme";"40-49ans";"En_couple";"Relig_regul";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_oui";"individuel";"Bourg";"RevNSP";"Centre";"nature, poubelles, odeurs, bruit"
"53";562;"homme";"20-29ans";"Seul";"Rrelig_non";"sansEnfant";"inactif";"enseig_etud";"Supérieur";"ecolo_oui";"collectif";"TGV";"rev2";"Seine";"écologie"
"54";1182;"femme";"30-39ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"ouvrier";"Cep";"ecolo_non";"individuel";"Ville";"rev3";"Jura_Alpes";"rue, arbres, voitures, personnes"
"55";1392;"homme";"30-39ans";"Seul";"Rrelig_non";"sansEnfant";"inactif";"inactif";"NOdip";"ecolo_non";"individuel";"Ville";"rev2";"Jura_Alpes";"les jardins, la campagne"
"56";3375;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Cep";"ecolo_oui";"individuel";"Rurv";"rev3";"Jura_Alpes";"la nature, le paysage"
"57";3403;"femme";"20-29ans";"Seul";"Relig_regul";"sansEnfant";"inactif";"enseig_etud";"Bac";"ecolo_oui";"individuel";"Rurv";"rev1";"Jura_Alpes";"nature, cadre de vie, habitation, l'air, circulation"
"58";2754;"homme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"ouvrier";"NOdip";"ecolo_oui";"individuel";"Ville";"rev2";"Bretagne";"la vie, la nature, on fait un peu plus attention, c'est un peu vague"
"59";3860;"femme";"40-49ans";"En_couple";"Relig_regul";"avecEnfant";"actif";"employe";"Be";"ecolo_oui";"individuel";"Bourg";"rev3";"Nord";"cadre de vie, ce qui nous entoure"
"60";3301;"femme";"50-59ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"Bac";"ecolo_oui";"individuel";"Bourg";"rev3";"Jura_Alpes";"la nature, la qualité des lieux fréquentés, la pollution"
"61";4013;"homme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"prof_interm";"Cep";"ecolo_oui";"individuel";"Bourg";"rev3";"Bretagne";"cadre de vie, bien se sentir où on habite"
"62";4085;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_oui";"individuel";"Bourg";"rev3";"Bretagne";"nature, professionnel, économique, social"
"63";3813;"femme";"20-29ans";"En_couple";"Relig_regul";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_oui";"individuel";"Bourg";"rev3";"Nord";"la protection et la dégradation de l'environnement, ce qui concerne la nature, l'eau, le bruit, villes, villages, routes"
"64";2270;"femme";"50-59ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"employe";"prof";"ecolo_non";"individuel";"Bourg";"rev2";"S_Ouest";"ce qu'il y a autour de chez moi"
"65";1772;"homme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"ouvrier";"prof";"ecolo_non";"individuel";"Bourg";"rev3";"Nord";"la nature"
"66";3941;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"ouvrier";"prof";"ecolo_oui";"individuel";"Bourg";"rev3";"Bretagne";"ce qui est autour de moi"
"67";3850;"homme";"20-29ans";"Seul";"Rrelig_non";"sansEnfant";"inactif";"enseig_etud";"Bac";"ecolo_oui";"individuel";"Bourg";"rev3";"Nord";"respect de la nature, problèmes de pollution, recyclage des déchets, population"
"68";4774;"femme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"inactif";"NOdip";"ecolo_oui";"individuel";"Bourg";"rev2";"Seine";"l'endroit où j'habite, les environs"
"69";1512;"homme";"20-29ans";"Seul";"Rrelig_non";"sansEnfant";"actif";"ouvrier";"prof";"ecolo_oui";"collectif";"Bourg";"rev2";"S_BassinParis";"secteur habitation, entourage"
"70";4038;"femme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"Be";"ecolo_non";"individuel";"Bourg";"rev3";"Bretagne";"le respect de la nature"
"71";3396;"homme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"prof";"ecolo_oui";"individuel";"Rurv";"rev2";"Jura_Alpes";"c'est le respect de la nature tout en vivant bien, le progrès actuel ne va pas dans le bon sens"
"72";4623;"femme";"40-49ans";"En_couple";"Rrelig_non";"sansEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_non";"individuel";"Bourg";"rev4";"Nord";"la nature, les voisins, l'habitation, le bruit, l'air que l'on respire"
"73";2539;"homme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_non";"individuel";"PGV";"rev4";"Centre";"ce qui autour de l'habit"
"74";2892;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"ouvrier";"Cep";"ecolo_non";"collectif";"Ville";"rev3";"Seine";"la façon dont on vit, ce qui nous entoure"
"75";5594;"homme";"60ans+";"En_couple";"Rrelig_non";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"individuel";"Bourg";"rev1";"Centre";"nuisances"
"76";2054;"femme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_non";"collectif";"GV";"rev3";"Seine";"c'est lécologie, les papiers et les sacs plastiques qui trainent, les mauvaises odeurs"
"77";5220;"femme";"60ans+";"En_couple";"Rrelig_non";"avecEnfant";"inactif";"inactif";"prof";"ecolo_non";"individuel";"Rural";"rev3";"S_Ouest";"ce qui entoure ma maison"
"78";3703;"homme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"inactif";"retraite";"prof";"ecolo_oui";"individuel";"Bourg";"rev2";"Mediterrannée";"la campagne, endroit où on vit, le calme, la propreté"
"79";1048;"femme";"60ans+";"Seul";"Rrelig_non";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"collectif";"Ville";"rev2";"Mediterrannée";"tout ce qui nous entoure, la nature, l'air, la ville"
"80";3363;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Cep";"ecolo_non";"individuel";"Bourg";"rev2";"Jura_Alpes";"la nature"
"81";5627;"femme";"30-39ans";"Seul";"Rrelig_non";"avecEnfant";"actif";"employe";"prof";"ecolo_oui";"individuel";"Bourg";"rev2";"Centre";"nature, tissus social"
"82";285;"homme";"30-39ans";"Seul";"Relig_occas";"sansEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_non";"individuel";"PTGV";"rev4";"Seine";"nature, montagne, mer"
"83";949;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"collectif";"TGV";"rev3";"Mediterrannée";"les gens qui nous entourent"
"84";5298;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"agricult";"prof";"ecolo_non";"individuel";"Rural";"rev3";"S_Ouest";"forêt, nature"
"85";3093;"homme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"ouvrier";"Supérieur";"ecolo_non";"individuel";"Bourg";"rev3";"Mediterrannée";"l'oxygène, la tranquillité, les couleurs"
"86";4676;"femme";"20-29ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"prof_interm";"prof";"ecolo_oui";"individuel";"Bourg";"rev2";"S_BassinParis";"ce qui m'entoure"
"87";5750;"femme";"30-39ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"employe";"prof";"ecolo_oui";"individuel";"Bourg";"rev3";"Centre";"nature"
"88";2860;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Supérieur";"ecolo_non";"individuel";"PGV";"rev3";"Seine";"la campagne, propreté, bien vivre"
"89";1484;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"prof_interm";"Supérieur";"ecolo_non";"collectif";"PTGV";"rev3";"Jura_Alpes";"le cadre de vie, les problèmes liés à la pollution de l'air et de l'eau"
"90";2506;"femme";"50-59ans";"Seul";"Relig_occas";"avecEnfant";"actif";"employe";"Be";"ecolo_oui";"collectif";"Ville";"rev2";"Centre";"qui m'environne, qui est autour de ma maison"
"91";3121;"homme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"prof_interm";"Supérieur";"ecolo_non";"individuel";"Bourg";"rev3";"Mediterrannée";"ce qui m'entoure et dont je subis l'influence"
"92";5105;"homme";"50-59ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"prof";"ecolo_oui";"individuel";"Rural";"rev3";"S_Ouest";"vivre avec la nature, vivre avec les inconvénients et les avantages de la vie moderne"
"93";2;"homme";"20-29ans";"Seul";"Rrelig_non";"sansEnfant";"inactif";"enseig_etud";"Supérieur";"ecolo_oui";"collectif";"TGV";"rev2";"Seine";"c'est tout, l'espace en général"
"94";4929;"femme";"50-59ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"employe";"Cep";"ecolo_non";"individuel";"Bourg";"rev2";"Seine";"la nature, la forêt, les bois, les arbres, la propreté des lieux, le respect de la nature"
"95";2884;"homme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"Be";"ecolo_non";"individuel";"Ville";"rev2";"Seine";"l'habitation, le lieu où l'on vit"
"96";3096;"femme";"40-49ans";"En_couple";"Relig_regul";"avecEnfant";"inactif";"inactif";"Be";"ecolo_non";"individuel";"Bourg";"rev3";"Mediterrannée";"la nature, l'espace"
"97";207;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Supérieur";"ecolo_non";"collectif";"PGV";"rev3";"Seine";"l'atmosphère dans lequel je vis tous les jours"
"98";5523;"femme";"30-39ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"employe";"prof";"ecolo_oui";"individuel";"Bourg";"rev3";"Nord";"la nature"
"99";274;"homme";"20-29ans";"En_couple";"Rrelig_non";"sansEnfant";"actif";"prof_interm";"Supérieur";"ecolo_non";"collectif";"Ville";"rev3";"Seine";"montagne, campagne, nature, flore, faune"
"100";2947;"homme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"Cep";"ecolo_non";"individuel";"Ville";"rev2";"S_BassinParis";"la nature"
"101";4224;"femme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_oui";"individuel";"Bourg";"rev4";"Bretagne";"air pur"
"102";2337;"femme";"30-39ans";"Seul";"Rrelig_non";"avecEnfant";"inactif";"inactif";"prof";"ecolo_oui";"individuel";"PTGV";"rev2";"S_Ouest";"les gens"
"103";829;"femme";"60ans+";"En_couple";"Rrelig_non";"avecEnfant";"actif";"employe";"NOdip";"ecolo_non";"collectif";"GV";"rev2";"Mediterrannée";"la nature"
"104";2473;"femme";"30-39ans";"Seul";"Rrelig_non";"avecEnfant";"chomeur";"inactif";"prof";"ecolo_non";"collectif";"Ville";"rev2";"Centre";"c'est vaste, tout ce qui nous entoure, la campagne, les voitures, les humains, la ville"
"105";5141;"homme";"30-39ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"commerc";"prof";"ecolo_oui";"individuel";"Rurv";"rev2";"S_Ouest";"la nature, les arbres, les oiseaux, l'endroit où je vis"
"106";2081;"femme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Cep";"ecolo_non";"individuel";"GV";"rev2";"Seine";"ce qui m'entoure"
"107";5769;"femme";"60ans+";"En_couple";"Rrelig_non";"avecEnfant";"inactif";"inactif";"Cep";"ecolo_non";"individuel";"Rural";"rev2";"Centre";"ce qui est autour de moi"
"108";2142;"homme";"20-29ans";"Seul";"Rrelig_non";"sansEnfant";"inactif";"enseig_etud";"Bac";"ecolo_non";"individuel";"GV";"rev3";"Seine";"protection de la nature, cadre de vie, pollution"
"109";1538;"homme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"individuel";"Bourg";"rev2";"Nord";"les changements intervenus dans mon village et les alentours"
"110";1731;"femme";"30-39ans";"En_couple";"Relig_occas";"avecEnfant";"chomeur";"inactif";"Bac";"ecolo_oui";"collectif";"Ville";"rev2";"Nord";"la nature"
"111";4181;"homme";"40-49ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"prof_interm";"Cep";"ecolo_non";"individuel";"Bourg";"rev2";"Bretagne";"les alentours de votre logement, les rapports avec les personnes"
"112";130;"homme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"Supérieur";"ecolo_oui";"collectif";"TGV";"rev3";"Seine";"d'abord l'habitat, l'extérieur, les rues, les jardins, l'animation des rues"
"113";5202;"femme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"inactif";"inactif";"prof";"ecolo_oui";"individuel";"Rurv";"rev2";"S_Ouest";"la nature, surtout pas les maisons ni la ville"
"114";79;"femme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"prof";"ecolo_oui";"collectif";"TGV";"rev3";"Seine";"mes petits enfants, l'avenir"
"115";2077;"femme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"collectif";"Ville";"rev2";"Seine";"entourage"
"116";2267;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"ouvrier";"Bac";"ecolo_oui";"individuel";"Rurv";"rev2";"S_Ouest";"c'est la nature de toute façon, c'est aussi un rapport avec les voisins"
"117";4934;"homme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"retraite";"NOdip";"ecolo_oui";"individuel";"Bourg";"rev2";"Seine";"nature, espace vert"
"118";3037;"femme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"cadre_lib";"Bac";"ecolo_non";"individuel";"Rurv";"rev3";"Seine";"la nature"
"119";1650;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"ouvrier";"prof";"ecolo_oui";"collectif";"Ville";"rev3";"Nord";"les espaces verts, la ville, les zones industrielles, les espaces verts, c'est tout ce qui nous entoure"
"120";3514;"femme";"60ans+";"En_couple";"Relig_occas";"avecEnfant";"inactif";"inactif";"Be";"ecolo_non";"individuel";"Bourg";"rev3";"Jura_Alpes";"nature, bien être, santé, agréable"
"121";5738;"femme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_oui";"individuel";"Bourg";"rev3";"Centre";"sauvegarder la nature, la nature"
"122";5248;"femme";"60ans+";"En_couple";"Rrelig_non";"avecEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_non";"individuel";"Rural";"rev4";"S_Ouest";"milieu de vie, qualité de vie"
"123";2310;"femme";"40-49ans";"Seul";"Relig_occas";"sansEnfant";"actif";"employe";"Bac";"ecolo_oui";"collectif";"TGV";"rev2";"S_Ouest";"pollution, couche d'ozone"
"124";2653;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_oui";"individuel";"Ville";"rev3";"Bretagne";"le calme, le repos, la nature, l'équilibre"
"125";4300;"homme";"20-29ans";"Seul";"Relig_occas";"sansEnfant";"inactif";"enseig_etud";"prof";"ecolo_non";"individuel";"Rurv";"rev2";"Bretagne";"nature en général"
"126";5451;"femme";"40-49ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"prof_interm";"Supérieur";"ecolo_non";"individuel";"Bourg";"rev3";"Nord";"les forêts, la nature, les déchets"
"127";2761;"femme";"50-59ans";"En_couple";"Relig_occas";"avecEnfant";"inactif";"inactif";"prof";"ecolo_oui";"individuel";"Ville";"rev3";"Bretagne";"ce qui m'entoure"
"128";54;"homme";"30-39ans";"En_couple";"Rrelig_non";"avecEnfant";"actif";"cadre_lib";"Supérieur";"ecolo_oui";"collectif";"TGV";"rev4";"Seine";"une mauvaise définition du mot"
"129";2247;"femme";"60ans+";"Seul";"Rrelig_non";"avecEnfant";"actif";"employe";"prof";"ecolo_oui";"collectif";"Ville";"rev2";"S_Ouest";"la nature sous toutes ses formes, les arbres, l'eau, la mer, la montagne, le calme"
"130";2487;"homme";"40-49ans";"En_couple";"Relig_occas";"sansEnfant";"actif";"prof_interm";"Bac";"ecolo_non";"collectif";"Ville";"rev3";"Centre";"survie"
"131";4011;"homme";"60ans+";"En_couple";"Relig_regul";"avecEnfant";"inactif";"retraite";"Cep";"ecolo_non";"individuel";"Bourg";"rev2";"Bretagne";"l'environnement personnel"
"132";395;"homme";"30-39ans";"Seul";"Rrelig_non";"sansEnfant";"actif";"enseig_etud";"Supérieur";"ecolo_oui";"collectif";"PTGV";"rev2";"Seine";"nature"
"133";899;"femme";"50-59ans";"En_couple";"Relig_occas";"avecEnfant";"actif";"employe";"Bac";"ecolo_non";"collectif";"GV";"rev3";"Mediterrannée";"tout ce qui nous entoure"
"134";3713;"homme";"50-59ans";"Seul";"Rrelig_non";"sansEnfant";"actif";"commerc";"prof";"ecolo_oui";"individuel";"Bourg";"rev2";"Mediterrannée";"conservation de la nature, propreté"
